"hotel_id","revenue_month","revenue","prev_month_revenue","mom_growth_pct"
1,2021-01-01,23398.76,,
1,2021-02-01,2107.33,23398.76,-90.99
1,2021-03-01,9356.36,2107.33,343.99
1,2021-04-01,12854.10,9356.36,37.38
1,2021-05-01,11232.00,12854.10,-12.62
1,2021-06-01,7721.22,11232.00,-31.26
1,2021-07-01,12765.63,7721.22,65.33
1,2021-08-01,12066.53,12765.63,-5.48
1,2021-09-01,15771.92,12066.53,30.71
1,2021-10-01,8777.51,15771.92,-44.35
1,2021-11-01,10537.44,8777.51,20.05
1,2021-12-01,7305.23,10537.44,-30.67
1,2022-01-01,9986.89,7305.23,36.71
1,2022-02-01,13271.24,9986.89,32.89
1,2022-03-01,12790.32,13271.24,-3.62
1,2022-04-01,7765.10,12790.32,-39.29
1,2022-05-01,12225.12,7765.10,57.44
1,2022-06-01,14051.44,12225.12,14.94
1,2022-07-01,15361.69,14051.44,9.32
1,2022-08-01,5685.28,15361.69,-62.99
1,2022-09-01,8745.93,5685.28,53.83
1,2022-10-01,17861.29,8745.93,104.22
1,2022-11-01,12905.31,17861.29,-27.75
1,2022-12-01,11571.31,12905.31,-10.34
1,2023-01-01,9451.29,11571.31,-18.32
1,2023-02-01,8731.07,9451.29,-7.62
1,2023-03-01,19267.55,8731.07,120.68
1,2023-04-01,8382.33,19267.55,-56.50
1,2023-05-01,13313.83,8382.33,58.83
1,2023-06-01,12998.74,13313.83,-2.37
1,2023-07-01,9318.70,12998.74,-28.31
1,2023-08-01,14240.85,9318.70,52.82
1,2023-09-01,11576.41,14240.85,-18.71
1,2023-10-01,12289.91,11576.41,6.16
1,2023-11-01,13247.33,12289.91,7.79
1,2023-12-01,10211.18,13247.33,-22.92
1,2024-01-01,7604.83,10211.18,-25.52
1,2024-02-01,5745.60,7604.83,-24.45
1,2024-03-01,9724.73,5745.60,69.26
1,2024-04-01,10127.78,9724.73,4.14
1,2024-05-01,10816.64,10127.78,6.80
1,2024-06-01,6274.10,10816.64,-42.00
1,2024-07-01,16361.50,6274.10,160.78
1,2024-08-01,12719.95,16361.50,-22.26
1,2024-09-01,15126.40,12719.95,18.92
1,2024-10-01,11789.04,15126.40,-22.06
1,2024-11-01,12222.06,11789.04,3.67
